item_name,price,item_image,place,item_category_name
【九州産】天然くえ(一貫),250,https://www.kurasushi.co.jp/menu/upload/cdebbcb78374dedc75f7256100fe6aac59e627a3.jpg,圏外,くら寿司
【九州産】炙り天然くえ(一貫),250,https://www.kurasushi.co.jp/menu/upload/84cc57267f656cd0b0227f0e8e40cb017899af56.jpg,圏外,くら寿司
牛すき焼き風,115,https://www.kurasushi.co.jp/menu/upload/7c089c88c165263d653dca7f72eb24e665024871.jpg,圏外,くら寿司
チャンジャ,115,https://www.kurasushi.co.jp/menu/upload/b8b1bb8d43ae609ab6b7da9c60acb7bdc45686b3.jpg,圏外,くら寿司
旨だれサーモン,115,https://www.kurasushi.co.jp/menu/upload/62a2c6cc8253e316254005c27cea65805c8b5533.jpg,圏外,くら寿司
マーボー茄子,115,https://www.kurasushi.co.jp/menu/upload/ef6e8eb70713d0d29b1b43fcd9c4fe333b2522cd.jpg,圏外,くら寿司
たらマヨ,115,https://www.kurasushi.co.jp/menu/upload/0c6a020e92c5d044c31e7dc8a1a54b3219ede07a.jpg,圏外,くら寿司
まぐたく,115,https://www.kurasushi.co.jp/menu/upload/9264759968088ea220b1d04911f08c17e000ba85.jpg,圏外,くら寿司
明太とろろ,115,https://www.kurasushi.co.jp/menu/upload/5f6b58db48924a1af663671a9f76d58673a657ce.jpg,圏外,くら寿司
旨だれまぐろ,115,https://www.kurasushi.co.jp/menu/upload/72446bf49445ad989c7a021bb97b12eed734d754.jpg,圏外,くら寿司
明太小柱,115,https://www.kurasushi.co.jp/menu/upload/bfcbfb94c41fcc3da2de199b96dff0b41c8b8691.jpg,圏外,くら寿司
数の子松前漬け,115,https://www.kurasushi.co.jp/menu/upload/448ebc64df660b07a9442756103b62d584b16aeb.jpg,圏外,くら寿司
まぐろ納豆,115,https://www.kurasushi.co.jp/menu/upload/c5261d6df5764e5135dd1f9d3f14387afff362c9.jpg,圏外,くら寿司
山かけまぐろ,115,https://www.kurasushi.co.jp/menu/upload/056532d6303fc3f74f835bed49c439166e0a3560.jpg,圏外,くら寿司
納豆とろろ,115,https://www.kurasushi.co.jp/menu/upload/3cbab372732a32df97f1014aaae05fd897d9fe05.jpg,圏外,くら寿司
いかおくら,115,https://www.kurasushi.co.jp/menu/upload/e2518cfafccbcd4b1a34805a83e9a8721de27aa0.jpg,圏外,くら寿司
ねぎまぐろ,115,https://www.kurasushi.co.jp/menu/upload/62b62f36965e8cbf2df4c90b8023c4d0fda46cab.jpg,5,くら寿司
コーン,115,https://www.kurasushi.co.jp/menu/upload/a5b3f68f1198e81a41d4819ed6da797e15499e31.jpg,圏外,くら寿司
まぐろユッケ,115,https://www.kurasushi.co.jp/menu/upload/48abd7bdd5421d647f1743fd5a8ad33e16a9d082.jpg,7,くら寿司
海鮮ユッケ,115,https://www.kurasushi.co.jp/menu/upload/3bfa911ef467037039676466841801201b67119a.jpg,圏外,くら寿司
たこキムチ,115,https://www.kurasushi.co.jp/menu/upload/46ffa84c0b362b583d3bd138fc011f8a77a0190f.jpg,圏外,くら寿司
納豆,115,https://www.kurasushi.co.jp/menu/upload/70a8a02156b93ab52d1a4180ae6f612c8ada2fc8.jpg,圏外,くら寿司
えびマヨ,115,https://www.kurasushi.co.jp/menu/upload/c68e9d1f1e6daf42d34e3b627b97a0d8ab09cc47.jpg,圏外,くら寿司
サラダ,115,https://www.kurasushi.co.jp/menu/upload/05b60fbf7decb8109f6e4f3d86c35605ce60cf26.jpg,圏外,くら寿司
ツナサラダ,115,https://www.kurasushi.co.jp/menu/upload/ce806a92d528ef456591c0bfd93f85e356b0d896.jpg,圏外,くら寿司
シーフードサラダ,115,https://www.kurasushi.co.jp/menu/upload/d5cb12b6d9a753e47facb6f8b832e53233f14266.jpg,圏外,くら寿司
納豆巻,115,https://www.kurasushi.co.jp/menu/upload/11cf5c906376d204dc23a6fe398dae9cdedb237e.jpg,圏外,くら寿司
きゅうり巻,115,https://www.kurasushi.co.jp/menu/images_menu/88235b45b74169fb87103aad45a526ab20c5cc44.jpg,圏外,くら寿司
しんこ巻,115,https://www.kurasushi.co.jp/menu/upload/c20b45bf3f9e4b2a2ae84211bd0149e20f674c4c.jpg,圏外,くら寿司
ねぎまぐろ鉄火,115,https://www.kurasushi.co.jp/menu/upload/e192f8289088e3c26b1dc7eb4c4d35c66c7241c4.jpg,圏外,くら寿司
かんぴょう巻,115,https://www.kurasushi.co.jp/menu/upload/03f7f34199bd8d495bffa8eb9680d544dc5f6650.jpg,圏外,くら寿司
いなり,115,https://www.kurasushi.co.jp/menu/upload/6e320d6abbcc08308c799d2f78efde84a26d37f7.jpg,圏外,くら寿司
かにマヨ,130,https://www.kurasushi.co.jp/menu/upload/f73ab2ecb545ac03b8b30dd227f804dd433ac50d.jpg,圏外,くら寿司
かにみそ,130,https://www.kurasushi.co.jp/menu/upload/f0d13c1e97ea92db280144de0247e7fdeffd84ab.jpg,圏外,くら寿司
ねぎ塩ほたて,130,https://www.kurasushi.co.jp/menu/upload/15e9bb53059393b8d5dd597906ed71ac03fd46e8.jpg,圏外,くら寿司
えび天手巻き（一貫）,165,https://www.kurasushi.co.jp/menu/upload/3417519e64ecad3f2ed85284a01f924d7063ac9f.jpg,圏外,くら寿司
かにユッケ,180,https://www.kurasushi.co.jp/menu/upload/1290f568a47c83de9a7c1b9bab5db846bde6e33b.jpg,圏外,くら寿司
いくら,180,https://www.kurasushi.co.jp/menu/upload/5393fc26274287088ce85b12dcbc27f92e8f5c76.jpg,圏外,くら寿司
鉄火巻,180,https://www.kurasushi.co.jp/menu/images_menu/3c697dcdab9863d4620d8f06ae2e2c85fe48f95c.jpg,圏外,くら寿司
海鮮うに手巻き（一貫）,180,https://www.kurasushi.co.jp/menu/upload/43326afc3b474f7e28e5fed0ca16627bcf57485d.jpg,圏外,くら寿司
まぐろ軍艦三種盛り,180,https://www.kurasushi.co.jp/menu/upload/563a652a45f3f8fd5be5dba34b87ca04c22b139a.jpg,圏外,くら寿司
大粒いくら（一貫）,190,https://www.kurasushi.co.jp/menu/upload/c7a7530346c4e48c387747b0b37e20329efd4fc6.jpg,圏外,くら寿司
濃厚うに（一貫）,230,https://www.kurasushi.co.jp/menu/upload/4461a850e313ffd2416ba825c57b9e26b314b91d.jpg,圏外,くら寿司
かんぴょう巻チュロス(mini),320,https://www.kurasushi.co.jp/menu/upload/7bae1ea6cd7e5674dfa0f138eb6eb804976ec4c8.jpg,圏外,くら寿司
ビッくらポン！ にぎりセット,690,https://www.kurasushi.co.jp/menu/upload/9a594c65af41a3e370ba18ba04fd1e97a380b685.jpg,圏外,くら寿司
ビッくらポン！ 軍艦セット,690,https://www.kurasushi.co.jp/menu/upload/730f88c0bd3972e0cf978fb4f3ebcd23bcf2c921.jpg,圏外,くら寿司
ビッくらポン！厳選6貫セット,690,https://www.kurasushi.co.jp/menu/upload/54c265df6ce45c8800c80a6cc64434037f6b4684.jpg,圏外,くら寿司
旬の海鮮丼　平日限定17時まで,600,https://www.kurasushi.co.jp/menu/upload/798d5eda5f6d4edc20abfe9e592d4220dcfe2027.jpg,圏外,くら寿司
